Index,Date
70510,2024-11-15 15:01:00
70509,2024-11-15 15:00:00
70508,2024-11-15 14:12:00
70507,2024-11-15 14:12:00
70506,2024-11-15 14:11:00
70505,2024-11-15 14:11:00
70504,2024-11-15 14:11:29
70503,2024-11-15 14:11:26
70502,2024-11-15 15:00:00
70501,2024-11-15 14:10:00
70500,2024-11-15 14:06:00
70499,2024-11-15 14:06:00
70498,2024-11-15 14:06:00
70497,2024-11-15 14:06:00
70496,2024-11-15 14:06:00
70495,2024-11-15 14:10:00
70494,2024-11-15 14:05:00
70493,2024-11-15 14:05:00
70491,2024-11-15 14:05:00
70490,2024-11-15 14:05:00
70489,2024-11-15 14:05:00
70488,2024-11-15 09:31:00
70487,2024-11-15 09:31:00
70486,2024-11-15 09:30:25
70485,2024-11-15 09:01:00
70484,2024-11-15 09:01:00
70482,2024-11-15 09:30:21
70481,2024-11-15 09:00:00
70480,2024-11-15 09:00:00
70478,2024-11-12 15:49:00
70477,2024-11-12 15:48:07
70475,2024-11-12 14:06:00
70474,2024-11-12 14:05:00
70473,2024-11-11 15:47:00
70472,2024-11-11 15:30:00
70471,2024-11-11 15:46:37
70470,2024-11-11 15:29:05
70469,2024-11-11 14:31:00
70468,2024-11-11 14:31:00
70467,2024-11-11 14:16:00
70466,2024-11-11 14:30:00
70465,2024-11-11 14:30:00
70464,2024-11-11 14:06:00
70463,2024-11-11 14:06:00
70462,2024-11-11 14:06:00
70461,2024-11-11 14:06:00
70460,2024-11-11 14:06:00
70459,2024-11-11 14:15:36
70458,2024-11-11 14:05:01
70457,2024-11-11 14:05:00
70456,2024-11-11 14:05:00
70455,2024-11-11 14:05:00
70454,2024-11-11 14:05:00
70453,2024-11-11 08:53:00
70452,2024-11-11 08:52:24
70451,2024-11-08 14:07:00
70450,2024-11-08 14:07:00
70449,2024-11-08 14:06:00
70448,2024-11-08 14:06:00
70447,2024-11-08 09:00:01
70446,2024-11-08 09:00:00
70445,2024-11-08 09:00:00
70444,2024-11-08 09:00:00
70443,2024-11-08 09:00:00
70442,2024-11-08 09:00:00
70441,2024-11-08 09:00:00
70440,2024-11-08 09:00:00
70439,2024-11-08 09:00:00
70438,2024-11-08 09:00:00
70437,2024-11-07 14:07:00
70436,2024-11-07 14:07:00
70435,2024-11-07 14:07:00
70434,2024-11-07 14:06:00
70433,2024-11-07 14:06:00
70432,2024-11-07 14:06:00
70431,2024-11-06 14:07:00
70430,2024-11-06 14:07:00
70429,2024-11-06 14:06:00
70426,2024-11-06 14:06:00
70425,2024-11-05 14:06:00
70424,2024-11-05 14:05:00
70423,2024-11-05 09:47:00
70422,2024-11-05 09:46:17
70420,2024-11-05 08:28:00
70419,2024-11-05 08:27:42
70418,2024-11-04 15:48:00
70417,2024-11-04 15:47:59
70415,2024-11-04 14:06:00
70414,2024-11-04 14:06:00
70413,2024-11-04 14:05:00
70412,2024-11-04 14:05:00
70411,2024-11-04 08:45:00
70410,2024-11-04 08:45:00
70409,2024-11-04 08:44:34
70408,2024-11-04 08:44:29
70407,2024-11-01 15:16:00
70406,2024-11-01 15:15:14
70404,2024-11-01 14:06:00
70403,2024-11-01 14:06:00
70402,2024-11-01 14:06:00
70401,2024-11-01 14:06:00
70400,2024-11-01 14:06:00
70399,2024-11-01 14:05:01
70398,2024-11-01 14:05:01
70397,2024-11-01 14:05:00
70396,2024-11-01 14:05:00
70395,2024-11-01 14:05:00
70392,2024-11-01 09:50:00
70391,2024-11-01 09:49:38
70390,2024-11-01 09:07:00
70389,2024-11-01 09:07:00
70388,2024-11-01 09:06:58
70387,2024-11-01 09:06:54
70386,2024-11-01 08:29:00
70385,2024-11-01 08:29:00
70384,2024-11-01 08:28:43
70383,2024-11-01 08:28:09
70382,2024-10-31 16:06:00
70379,2024-10-31 16:05:06
70375,2024-10-31 15:53:00
70373,2024-10-31 15:48:00
70372,2024-10-31 15:47:00
70371,2024-10-31 15:47:00
70370,2024-10-31 15:52:50
70369,2024-10-31 15:46:45
70368,2024-10-31 15:47:18
70367,2024-10-31 15:38:00
70366,2024-10-31 15:46:21
70365,2024-10-31 15:37:00
70364,2024-10-31 15:37:55
70363,2024-10-31 15:36:45
70362,2024-10-31 15:29:00
70361,2024-10-31 15:29:00
70360,2024-10-31 15:28:32
70359,2024-10-31 15:28:29
70358,2024-10-31 15:16:00
70357,2024-10-31 15:16:00
70356,2024-10-31 15:06:00
70355,2024-10-31 15:02:00
70354,2024-10-31 15:02:00
70353,2024-10-31 15:02:00
70352,2024-10-31 14:55:00
70351,2024-10-31 15:05:00
70350,2024-10-31 15:01:00
70348,2024-10-31 14:54:41
70347,2024-10-31 14:31:00
70346,2024-10-31 14:31:00
70345,2024-10-31 14:26:00
70344,2024-10-31 14:26:00
70343,2024-10-31 14:23:00
70342,2024-10-31 14:23:00
70341,2024-10-31 14:25:38
70340,2024-10-31 14:20:00
70339,2024-10-31 14:20:00
70338,2024-10-31 14:19:00
70337,2024-10-31 14:19:00
70336,2024-10-31 14:22:38
70335,2024-10-31 14:18:00
70334,2024-10-31 14:18:00
70333,2024-10-31 14:22:32
70331,2024-10-31 14:25:36
70330,2024-10-31 15:01:00
70329,2024-10-31 15:01:00
70328,2024-10-31 14:11:00
70327,2024-10-31 14:11:00
70326,2024-10-31 14:19:55
70324,2024-10-31 14:18:55
70323,2024-10-31 14:19:51
70322,2024-10-31 14:18:50
70321,2024-10-31 14:07:00
70320,2024-10-31 14:07:00
70319,2024-10-31 14:07:00
70318,2024-10-31 14:07:00
70317,2024-10-31 14:07:00
70316,2024-10-31 14:07:00
70315,2024-10-31 14:07:00
70314,2024-10-31 14:07:00
70313,2024-10-31 14:07:00
70312,2024-10-31 14:07:00
70311,2024-10-31 14:07:00
70310,2024-10-31 14:17:45
70309,2024-10-31 14:17:39
70307,2024-10-31 14:10:00
70306,2024-10-31 14:10:00
70305,2024-10-31 14:06:00
70304,2024-10-31 14:06:00
70303,2024-10-31 14:06:00
70302,2024-10-31 14:06:01
70301,2024-10-31 14:30:00
70300,2024-10-31 14:06:00
70299,2024-10-31 14:30:00
70298,2024-10-31 14:06:00
70297,2024-10-31 14:06:00
70295,2024-10-31 14:06:00
70294,2024-10-31 15:15:00
70293,2024-10-31 15:15:00
70292,2024-10-31 14:06:00
70291,2024-10-31 14:06:00
70290,2024-10-31 14:06:00
70287,2024-10-31 09:53:00
70286,2024-10-31 09:52:40
70284,2024-10-31 09:30:00
70283,2024-10-31 15:55:00
70282,2024-10-31 15:55:00
70281,2024-10-31 09:29:14
70280,2024-10-31 09:24:00
70279,2024-10-31 09:24:00
70278,2024-10-31 09:23:35
70277,2024-10-31 09:23:31
70276,2024-10-31 09:01:00
70275,2024-10-31 09:01:00
70274,2024-10-31 09:01:00
70273,2024-10-31 09:01:00
70272,2024-10-31 09:01:00
70271,2024-10-31 09:01:00
70270,2024-10-31 09:01:00
70269,2024-10-31 08:47:00
70268,2024-10-31 08:43:00
70267,2024-10-31 08:43:00
70266,2024-10-31 08:42:00
70265,2024-10-31 08:46:50
70264,2024-10-31 08:41:00
70263,2024-10-31 08:40:00
70262,2024-10-31 09:00:03
70261,2024-10-31 08:42:35
70260,2024-10-31 09:00:02
70259,2024-10-31 09:00:02
70258,2024-10-31 09:05:00
70257,2024-10-31 09:00:02
70256,2024-10-31 09:05:00
70255,2024-10-31 08:41:09
70254,2024-10-31 09:00:01
70253,2024-10-31 09:05:00
70252,2024-10-31 09:00:01
70251,2024-10-31 09:00:00
70250,2024-10-31 09:00:00
70249,2024-10-31 08:40:41
70248,2024-10-31 09:00:01
70247,2024-10-31 09:05:00
70246,2024-10-31 09:00:00
